"","year","inst","numx","men","women"
"840",1978,2,8,278,17
"841",1978,2,9,777,159
"842",1978,2,10,1109,82
"843",1978,2,11,763,211
"844",1978,2,12,420,145
"845",1978,2,13,235,23
"846",1978,2,14,514,111
"847",1978,2,15,4099,2
"848",1978,2,16,4602,30
"849",1978,2,17,2679,24
"850",1978,2,18,3480,84
"851",1978,2,19,662,3
"852",1978,2,20,252,1
"853",1978,2,21,311,0
"854",1978,2,22,968,4
"855",1978,2,23,526,24
"856",1978,2,24,189,0
"857",1978,2,25,110,1
"858",1978,2,26,166,0
"859",1978,2,27,144,10
"860",1978,2,28,552,14
"861",1978,2,29,1318,205
"862",1978,2,30,1004,315
"863",1978,2,31,884,5
"864",1978,2,32,244,20
"865",1978,2,33,604,13
"866",1978,2,34,147,11
"867",1978,2,35,756,105
"868",1978,2,36,758,29
"869",1978,2,37,28,3
"870",1978,2,38,1237,125
"871",1978,2,39,125,33
"872",1978,2,40,326,726
"873",1978,2,41,0,0
"874",1978,2,42,18.5,47
"875",1978,2,43,161,0
"876",1978,2,44,0,51
"877",1978,2,45,0,56
"878",1978,2,46,0,57
"879",1978,2,47,0,27
"880",1978,2,48,0,35
"881",1978,2,49,245,252
"882",1978,2,50,3296,7352
"883",1978,2,51,1944,2251
"884",1978,2,52,91,130
"885",1978,2,53,583,645
"886",1978,2,54,6,21
"887",1978,2,55,19,73
"888",1978,2,56,187,702
"889",1978,2,57,25,612
"890",1978,2,58,18,3
"891",1978,2,59,95,29
"892",1978,2,60,72,26
"893",1978,2,61,24,10
"894",1978,2,62,77,134
"895",1978,2,63,29.5,24
"896",1978,2,64,97.5,25
"897",1978,3,1,602,1316
"898",1978,3,2,19,15
"899",1978,3,3,2,0
"900",1978,3,4,41,37
"901",1978,3,5,359,40
"902",1978,3,6,2565,206
"903",1978,3,7,32,139
"904",1978,3,8,0,0
"905",1978,3,9,28,5
"906",1978,3,10,45,2
"907",1978,3,11,34,15
"908",1978,3,12,24,7
"909",1978,3,13,22,0
"910",1978,3,14,68,16
"911",1978,3,15,236,0
"912",1978,3,16,245,5
"913",1978,3,17,158,3
"914",1978,3,18,201,0
"915",1978,3,19,33,1
"916",1978,3,20,0,0
"917",1978,3,21,0,0
"918",1978,3,22,89,0
"919",1978,3,23,0,0
"920",1978,3,24,30,0
"921",1978,3,25,33,0
"922",1978,3,26,29,0
